specification,outcome,term,coef,se,pval,nobs,weight_col,formula,wild_cluster_bootstrap_pval
primary_first_answer_1d,first_answer_1d_rate,high_post,-0.03253075449220411,0.010482813974831634,0.001914102180839466,1147,first_answer_1d_denom,first_answer_1d_rate ~ high_post + C(tag):time_index + C(tag) + C(month_id),0.06516290726817042
fractional_first_answer_1d,first_answer_1d_rate,high_post,-0.03260462793810173,0.010460234777595194,0.0018269706138676451,1152,first_answer_1d_denom,first_answer_1d_rate ~ high_post + C(tag):time_index + C(tag) + C(month_id),
primary_any_answer_7d,any_answer_7d_rate,high_post,-0.026740584830167276,0.008870187782224322,0.0025726895495084712,1147,any_answer_7d_denom,any_answer_7d_rate ~ high_post + C(tag):time_index + C(tag) + C(month_id),0.040100250626566414
fractional_any_answer_7d,any_answer_7d_rate,high_post,-0.027219625978569417,0.009043620116510935,0.0026140662053030575,1152,any_answer_7d_denom,any_answer_7d_rate ~ high_post + C(tag):time_index + C(tag) + C(month_id),
primary_any_pos_answer_7d,any_pos_answer_7d_rate,high_post,-0.005160758498208222,0.008789564356302612,0.5571055835241285,1147,any_pos_answer_7d_denom,any_pos_answer_7d_rate ~ high_post + C(tag):time_index + C(tag) + C(month_id),
fractional_any_pos_answer_7d,any_pos_answer_7d_rate,high_post,-0.00422311261966561,0.008235804737681993,0.6081089024513722,1152,any_pos_answer_7d_denom,any_pos_answer_7d_rate ~ high_post + C(tag):time_index + C(tag) + C(month_id),
primary_first_positive_latency,first_positive_answer_latency_mean,high_post,92.09117904868035,28.994870368253867,0.0014925934823596968,1143,first_positive_answer_latency_denom,first_positive_answer_latency_mean ~ high_post + C(tag):time_index + C(tag) + C(month_id),0.10526315789473684
fractional_first_positive_latency,first_positive_answer_latency_mean,high_post,89.55133469013514,25.846650094965185,0.0005307892065830744,1151,first_positive_answer_latency_denom,first_positive_answer_latency_mean ~ high_post + C(tag):time_index + C(tag) + C(month_id),
primary_max_score_30d_zero,max_answer_score_30d_zero_mean,high_post,0.21845993287502977,0.1255822315832861,0.08193336106478014,1140,max_answer_score_30d_zero_denom,max_answer_score_30d_zero_mean ~ high_post + C(tag):time_index + C(tag) + C(month_id),0.3458646616541353
fractional_max_score_30d_zero,max_answer_score_30d_zero_mean,high_post,0.2137772667248738,0.1216454579641151,0.07885309946311715,1145,max_answer_score_30d_zero_denom,max_answer_score_30d_zero_mean ~ high_post + C(tag):time_index + C(tag) + C(month_id),
primary_accepted_cond_any_answer_30d,accepted_cond_any_answer_30d_rate,high_post,-0.0005348324009591276,0.00619509001500914,0.9312027718784924,1138,accepted_cond_any_answer_30d_denom,accepted_cond_any_answer_30d_rate ~ high_post + C(tag):time_index + C(tag) + C(month_id),0.9172932330827067
fractional_accepted_cond_any_answer_30d,accepted_cond_any_answer_30d_rate,high_post,-0.00329760691675254,0.006777907752533312,0.6265965169196884,1144,accepted_cond_any_answer_30d_denom,accepted_cond_any_answer_30d_rate ~ high_post + C(tag):time_index + C(tag) + C(month_id),
primary_accepted_vote_30d,accepted_vote_30d_rate,high_post,0.00913390653324787,0.0028939420362267014,0.0015983037997761972,1140,accepted_vote_30d_denom,accepted_vote_30d_rate ~ high_post + C(tag):time_index + C(tag) + C(month_id),0.042606516290726815
fractional_accepted_vote_30d,accepted_vote_30d_rate,high_post,0.009092920382324447,0.002897430142842424,0.0016994779397661297,1145,accepted_vote_30d_denom,accepted_vote_30d_rate ~ high_post + C(tag):time_index + C(tag) + C(month_id),
