dropped_tag,dropped_group,coef,se,pval
android,low,-0.014524074259209877,0.005920288087162762,0.014156343188281252
apache-spark,low,-0.011123245112214656,0.005426111337065672,0.0403695229159416
bash,high,-0.01059520403056003,0.005151875581388871,0.03972739590794372
docker,low,-0.010816197302252676,0.005784200065156237,0.06148998381953321
excel,high,-0.011444387497189425,0.004960827602886911,0.021057537321748275
firebase,low,-0.009062648524104388,0.004937966419854322,0.06646128845765767
javascript,high,-0.006120037672802943,0.004805881253433668,0.2028592758813934
kubernetes,low,-0.008293727168323417,0.004329680502701326,0.05542217303888627
linux,low,-0.010229861864981463,0.005397222878368422,0.05804027194528347
memory-management,low,-0.010370782286198853,0.005168614942351507,0.04480382777552698
multithreading,low,-0.010150420629471399,0.005192404270186095,0.050599660199983965
numpy,high,-0.010434850012316503,0.0051397988207225855,0.04233561197096388
pandas,high,-0.010860248593945803,0.005084125088349589,0.032670478488835204
python,high,-0.011771569487482517,0.006554254137746388,0.0724913855189257
regex,high,-0.010017068597001355,0.005214898011938435,0.05474985303400067
sql,high,-0.010759355629952502,0.005279328967767938,0.04154835694664478
