scope,primary_tag,tag_family,outcome,coef_brand_new_vs_established,pval,nobs
tag,sql,data_scripting,accepted_30d,-0.05731027085754983,2.1931072658350528e-08,7485
tag,regex,data_scripting,accepted_30d,-0.053341374350409684,0.03489002006354372,1821
tag,apache-spark,systems_infra,accepted_30d,-0.05326958184581513,0.028043184978450136,1563
tag,python,data_scripting,accepted_30d,-0.05322229038981462,1.290808605979956e-46,49425
tag,docker,systems_infra,accepted_30d,-0.04810119656553911,9.149812256613515e-08,11441
tag,memory-management,systems_infra,accepted_30d,-0.04699635444629577,0.4390075645487238,392
tag,kubernetes,systems_infra,accepted_30d,-0.046448705617627706,0.0032417777437643374,3912
tag,pandas,data_scripting,accepted_30d,-0.041261002316811596,0.11125050391821824,1258
tag,bash,data_scripting,accepted_30d,-0.040162110482503746,0.06998184723378946,2059
tag,multithreading,systems_infra,accepted_30d,-0.03467451000785583,0.2361962388085367,1414
tag,javascript,application_framework,accepted_30d,-0.0330336941964538,2.211134377072974e-16,42351
tag,linux,systems_infra,accepted_30d,-0.032565120456837876,0.02155353661352364,4201
tag,excel,data_scripting,accepted_30d,-0.022702217430917687,0.10715381385344777,3795
tag,android,application_framework,accepted_30d,-0.021112519324701484,0.0007421953221299271,18390
tag,firebase,application_framework,accepted_30d,-0.014277918943783377,0.2759463738064292,4898
tag,numpy,data_scripting,accepted_30d,0.013745825236552909,0.7707828334177262,389
tag,memory-management,systems_infra,first_answer_1d,-0.10109325998353214,0.07638553644847944,392
tag,docker,systems_infra,first_answer_1d,-0.0600621555347691,8.424790580836729e-09,11441
tag,kubernetes,systems_infra,first_answer_1d,-0.054560109493200504,0.0023564193546714756,3912
tag,apache-spark,systems_infra,first_answer_1d,-0.03779403730573611,0.1792323650245783,1563
tag,bash,data_scripting,first_answer_1d,-0.03508495406904465,0.09107403327568436,2059
tag,pandas,data_scripting,first_answer_1d,-0.027404436185297937,0.2934006968831802,1258
tag,numpy,data_scripting,first_answer_1d,-0.013015208034816136,0.8104811119783119,389
tag,linux,systems_infra,first_answer_1d,-0.006426609958728999,0.6997683417339696,4201
tag,excel,data_scripting,first_answer_1d,-0.001964952836555879,0.8940861326766304,3795
tag,android,application_framework,first_answer_1d,0.014324380611671128,0.05734052294410128,18390
tag,python,data_scripting,first_answer_1d,0.018766978053483135,2.002026984545956e-05,49425
tag,regex,data_scripting,first_answer_1d,0.019486991333380017,0.3067987404719561,1821
tag,sql,data_scripting,first_answer_1d,0.020157742265729743,0.025406494057406706,7485
tag,multithreading,systems_infra,first_answer_1d,0.022672841250051236,0.4365116528417158,1414
tag,firebase,application_framework,first_answer_1d,0.030017262820719037,0.04902621761207384,4898
tag,javascript,application_framework,first_answer_1d,0.04940002323847608,7.81019066564569e-27,42351
tag,memory-management,systems_infra,is_current_accepted_answer,-0.16248337112725314,0.007843462117823052,392
tag,pandas,data_scripting,is_current_accepted_answer,-0.1099692548379593,2.8211859563404715e-05,1258
tag,multithreading,systems_infra,is_current_accepted_answer,-0.09276587102555885,0.0015285541196403552,1414
tag,linux,systems_infra,is_current_accepted_answer,-0.0787678616254235,3.733195217012041e-08,4201
tag,excel,data_scripting,is_current_accepted_answer,-0.07539556383660302,1.7018825121708747e-08,3795
tag,sql,data_scripting,is_current_accepted_answer,-0.07150762568281321,1.5809657348429472e-13,7485
tag,bash,data_scripting,is_current_accepted_answer,-0.06912495363299988,0.0009263286401128202,2059
tag,kubernetes,systems_infra,is_current_accepted_answer,-0.06253971998526225,1.4330587262163501e-05,3912
tag,python,data_scripting,is_current_accepted_answer,-0.06053459826785665,4.042748329496215e-66,49425
tag,docker,systems_infra,is_current_accepted_answer,-0.056368427313123894,2.9823002545417507e-11,11441
tag,regex,data_scripting,is_current_accepted_answer,-0.055790080485970076,0.02551362930874507,1821
tag,android,application_framework,is_current_accepted_answer,-0.0541640266426265,4.9316833986205726e-21,18390
tag,firebase,application_framework,is_current_accepted_answer,-0.05201834969059849,1.1386403624062601e-05,4898
tag,numpy,data_scripting,is_current_accepted_answer,-0.05124141541222038,0.3157763541074168,389
tag,javascript,application_framework,is_current_accepted_answer,-0.04777688850633284,1.0532380183763021e-35,42351
tag,apache-spark,systems_infra,is_current_accepted_answer,-0.04404264262520938,0.05531425142453308,1563
tag,memory-management,systems_infra,score,-0.4360567848653039,0.07792028710940854,392
tag,bash,data_scripting,score,-0.35128853385790304,5.4362229782861506e-05,2059
tag,python,data_scripting,score,-0.2782314104609741,3.2773444448538997e-14,49425
tag,regex,data_scripting,score,-0.2753778478784274,0.0009083625392532956,1821
tag,multithreading,systems_infra,score,-0.2444058913465211,0.1335484432468706,1414
tag,linux,systems_infra,score,-0.21635726983737438,0.05619440349456271,4201
tag,javascript,application_framework,score,-0.21028127406258598,3.1286955450374176e-13,42351
tag,sql,data_scripting,score,-0.18587894141700884,3.749945391013934e-11,7485
tag,android,application_framework,score,-0.1702715633419324,0.0492286761701839,18390
tag,kubernetes,systems_infra,score,-0.15810548457970508,0.105561962909103,3912
tag,excel,data_scripting,score,-0.10404963733331601,0.007632130779495231,3795
tag,docker,systems_infra,score,-0.09664811933246731,0.4958450942711405,11441
tag,firebase,application_framework,score,-0.08906058185331978,0.4308592996701323,4898
tag,pandas,data_scripting,score,-0.07769463025946943,0.40801955444553706,1258
tag,apache-spark,systems_infra,score,-0.026511021655532763,0.7193307748155346,1563
tag,numpy,data_scripting,score,-0.01942625699151041,0.9028732901302385,389
