test_block,model,outcome,term,coef,se,pval,nobs
local_depth_attenuation,baseline,any_answer_7d_rate,high_post,-0.022898040845692122,0.008333430845758502,0.00600089002932637,1145
local_depth_attenuation,baseline,any_answer_7d_rate,established_cross_tag_share,-0.12208356646400555,0.03796231383201063,0.0013002943483456401,1145
local_depth_attenuation,with_thin_local_interaction,any_answer_7d_rate,high_post,-0.01840423612963879,0.008828951777071093,0.037111765290416175,1145
local_depth_attenuation,with_thin_local_interaction,any_answer_7d_rate,established_cross_tag_share,-0.08139210704084594,0.02382265750042716,0.0006341213072998486,1145
local_depth_attenuation,with_thin_local_interaction,any_answer_7d_rate,established_x_thin_local_depth,0.08089826022224389,0.032564800196286554,0.01298340870734415,1145
local_depth_attenuation,baseline,first_positive_answer_latency_mean,high_post,83.72736866487877,26.177363378222086,0.0013816152059257186,1142
local_depth_attenuation,baseline,first_positive_answer_latency_mean,established_cross_tag_share,246.86011852731238,101.1360914899329,0.014651901259111484,1142
local_depth_attenuation,with_thin_local_interaction,first_positive_answer_latency_mean,high_post,76.89774530752355,26.35565387223511,0.0035262969408943216,1142
local_depth_attenuation,with_thin_local_interaction,first_positive_answer_latency_mean,established_cross_tag_share,185.33672617052596,76.51309755940463,0.015423139623742052,1142
local_depth_attenuation,with_thin_local_interaction,first_positive_answer_latency_mean,established_x_thin_local_depth,-118.38719309277865,62.364007019802706,0.057653199343041917,1142
local_depth_attenuation,baseline,first_answer_1d_rate_closure,high_post,-0.02747056352307393,0.00949226648017385,0.0038037526661397624,1145
local_depth_attenuation,baseline,first_answer_1d_rate_closure,established_cross_tag_share,-0.1615441531363202,0.04855273611863882,0.0008772669838258089,1145
local_depth_attenuation,with_thin_local_interaction,first_answer_1d_rate_closure,high_post,-0.020904889733543076,0.010081077802472934,0.038109405707970695,1145
local_depth_attenuation,with_thin_local_interaction,first_answer_1d_rate_closure,established_cross_tag_share,-0.10214260351266069,0.03160135168359715,0.0012283132512674584,1145
local_depth_attenuation,with_thin_local_interaction,first_answer_1d_rate_closure,established_x_thin_local_depth,0.118173565419859,0.038070474596264295,0.001908756674780968,1145
