family,outcome,term,coef,se,pval,nobs,mean_outcome
binary,any_answer_7d_rate,high_post,-0.02135271192051891,0.008333235861435462,0.01039648696768647,975,0.7222216856076961
binary,any_answer_7d_rate,established_one_shot_share_365d,-0.06433846192061432,0.026564370552312082,0.015436059786161038,975,0.7222216856076961
binary,any_answer_7d_rate,established_repeat_high_intensity_share_365d,-0.3610779372842711,0.11620667493896189,0.0018886551184548624,975,0.7222216856076961
binary,any_answer_7d_rate,established_repeat_low_intensity_share_365d,0.021268712971434116,0.04014986668450626,0.5962970015299739,975,0.7222216856076961
binary,first_positive_answer_latency_mean,high_post,79.57913720599767,26.873950617213662,0.0030644307100191554,975,256.6905417130193
binary,first_positive_answer_latency_mean,established_one_shot_share_365d,148.58856823781153,87.24593759731886,0.08854933039706035,975,256.6905417130193
binary,first_positive_answer_latency_mean,established_repeat_high_intensity_share_365d,677.1618660130981,292.6457112215545,0.02067152930478224,975,256.6905417130193
binary,first_positive_answer_latency_mean,established_repeat_low_intensity_share_365d,233.18115067288517,133.14839213556112,0.07989635339154685,975,256.6905417130193
binary,accepted_cond_any_answer_30d_rate,high_post,0.00048156452870919293,0.0063045104211346846,0.9391134970201207,975,0.5037732341339203
binary,accepted_cond_any_answer_30d_rate,established_one_shot_share_365d,0.01027415063948728,0.03065710898800247,0.7375261940561633,975,0.5037732341339203
binary,accepted_cond_any_answer_30d_rate,established_repeat_high_intensity_share_365d,-0.0035052290547550897,0.05038655326388827,0.9445384977085641,975,0.5037732341339203
binary,accepted_cond_any_answer_30d_rate,established_repeat_low_intensity_share_365d,0.002711966613409056,0.06440072653888024,0.966410364486356,975,0.5037732341339203
binary,accepted_vote_30d_rate,high_post,0.008632811819578505,0.002891826172103139,0.002833505721357799,975,0.20798575071925243
binary,accepted_vote_30d_rate,established_one_shot_share_365d,0.01781244006482396,0.01385180359156537,0.1984677377444446,975,0.20798575071925243
binary,accepted_vote_30d_rate,established_repeat_high_intensity_share_365d,0.048896192419009096,0.056884605809848644,0.390027166885462,975,0.20798575071925243
binary,accepted_vote_30d_rate,established_repeat_low_intensity_share_365d,0.016786565298572396,0.02613833458546092,0.5207302480698143,975,0.20798575071925243
binary,first_answer_1d_rate_closure,high_post,-0.026428532167871024,0.00963403032666999,0.006083476493276239,975,0.6464967664528659
binary,first_answer_1d_rate_closure,established_one_shot_share_365d,-0.09584819016639559,0.03631408160116326,0.00830475027260466,975,0.6464967664528659
binary,first_answer_1d_rate_closure,established_repeat_high_intensity_share_365d,-0.45624593644092565,0.13879888321446696,0.0010122455117173622,975,0.6464967664528659
binary,first_answer_1d_rate_closure,established_repeat_low_intensity_share_365d,-0.0060537005857081855,0.05287718418780124,0.9088524946866273,975,0.6464967664528659
continuous,any_answer_7d_rate,exposure_post,-0.008005026590456153,0.006926615925573493,0.24780763546558437,975,0.7222216856076961
continuous,any_answer_7d_rate,established_one_shot_share_365d,-0.07026158346620315,0.02680828908156803,0.008770049024603748,975,0.7222216856076961
continuous,any_answer_7d_rate,established_repeat_high_intensity_share_365d,-0.38039553766821854,0.11770132459465152,0.001229824154718098,975,0.7222216856076961
continuous,any_answer_7d_rate,established_repeat_low_intensity_share_365d,0.024160346975392245,0.04115202191781883,0.5571366306856382,975,0.7222216856076961
continuous,first_positive_answer_latency_mean,exposure_post,48.936639561913886,13.755981025880525,0.00037442833729971057,975,256.6905417130193
continuous,first_positive_answer_latency_mean,established_one_shot_share_365d,165.20139743905784,86.36848687450836,0.05577995488919603,975,256.6905417130193
continuous,first_positive_answer_latency_mean,established_repeat_high_intensity_share_365d,691.2913020524034,318.81223832936575,0.030133310497620244,975,256.6905417130193
continuous,first_positive_answer_latency_mean,established_repeat_low_intensity_share_365d,252.87261241021355,128.15686138857538,0.04847856277098175,975,256.6905417130193
continuous,accepted_cond_any_answer_30d_rate,exposure_post,-0.003691775030075331,0.004431269419162286,0.40477758294731925,975,0.5037732341339203
continuous,accepted_cond_any_answer_30d_rate,established_one_shot_share_365d,0.011242393958794936,0.031134789151204025,0.7180337784822777,975,0.5037732341339203
continuous,accepted_cond_any_answer_30d_rate,established_repeat_high_intensity_share_365d,0.0073161132201858175,0.05141015952382768,0.8868361709964251,975,0.5037732341339203
continuous,accepted_cond_any_answer_30d_rate,established_repeat_low_intensity_share_365d,-0.002213400351502144,0.06505079532947716,0.9728566384796214,975,0.5037732341339203
continuous,accepted_vote_30d_rate,exposure_post,0.0010266270259338753,0.0025321436440222615,0.6851556498660605,975,0.20798575071925243
continuous,accepted_vote_30d_rate,established_one_shot_share_365d,0.02079020973941498,0.01368662756638687,0.12875840464229718,975,0.20798575071925243
continuous,accepted_vote_30d_rate,established_repeat_high_intensity_share_365d,0.06330874340562874,0.058275004227978607,0.2773113288854666,975,0.20798575071925243
continuous,accepted_vote_30d_rate,established_repeat_low_intensity_share_365d,0.012605387010481143,0.026324971178346805,0.6320541387038491,975,0.20798575071925243
continuous,first_answer_1d_rate_closure,exposure_post,-0.010051906831759622,0.0079688615837245,0.20716545385133212,975,0.6464967664528659
continuous,first_answer_1d_rate_closure,established_one_shot_share_365d,-0.10314132452635588,0.03659929669308628,0.00483052816552469,975,0.6464967664528659
continuous,first_answer_1d_rate_closure,established_repeat_high_intensity_share_365d,-0.47972538911183843,0.1399385922704682,0.0006077911072385045,975,0.6464967664528659
continuous,first_answer_1d_rate_closure,established_repeat_low_intensity_share_365d,-0.002670944203891912,0.05508298446020748,0.9613261637974161,975,0.6464967664528659
