panel,family,outcome,term,coef,se,pval,nobs,mean_outcome
role_embedding,binary,role_total_post_return_365d,high_post,2.8170699223355955,4.613731344958883,0.54147510632452,923,8.563969388283448
role_embedding,continuous,role_total_post_return_365d,exposure_post,3.110401511615407,2.1354316007042344,0.14523564352973045,923,8.563969388283448
role_embedding,binary,first_answer_count_post_return_365d,high_post,0.8065954481797133,1.3687550147098486,0.5556658671755246,923,2.7524707748613517
role_embedding,continuous,first_answer_count_post_return_365d,exposure_post,0.8343151628579172,0.6288528171803768,0.18459945272596745,923,2.7524707748613517
role_embedding,binary,first_positive_count_post_return_365d,high_post,0.550494035150644,0.9719638954874829,0.5711402956154596,923,1.6751734528433797
role_embedding,continuous,first_positive_count_post_return_365d,exposure_post,0.6413129472651673,0.4753510048548586,0.17729342610715892,923,1.6751734528433797
role_embedding,binary,top_score_count_post_return_365d,high_post,0.8451627504064373,1.3877496886821468,0.5425133626758389,923,2.67691040027971
role_embedding,continuous,top_score_count_post_return_365d,exposure_post,0.9243030106354566,0.6313648573386333,0.1432005006943529,923,2.67691040027971
role_embedding,binary,accepted_current_count_post_return_365d,high_post,0.6148176885988086,0.8932448579975267,0.4912658180492564,923,1.4594147602990064
role_embedding,continuous,accepted_current_count_post_return_365d,exposure_post,0.7104703908568658,0.4089878515308803,0.08236192979719335,923,1.4594147602990064
role_embedding,binary,accepted_current_role_share_post_return_365d,high_post,-0.005977219932061384,0.005148997159867358,0.24570238563597346,919,0.15097280642415942
role_embedding,continuous,accepted_current_role_share_post_return_365d,exposure_post,-0.006663601170850334,0.002159100271258953,0.002026737040182252,919,0.15097280642415942
role_embedding,binary,any_accepted_current_role_post_return_365d,high_post,-0.012414990635970983,0.008884439401925747,0.16229754720428158,923,0.4834904787015728
role_embedding,continuous,any_accepted_current_role_post_return_365d,exposure_post,-0.0181358520071225,0.011995285645119433,0.13055549371678937,923,0.4834904787015728
role_embedding,binary,any_top_score_role_post_return_365d,high_post,-0.0029959332042756998,0.011253781379808425,0.7900730980375942,923,0.7821001400387521
role_embedding,continuous,any_top_score_role_post_return_365d,exposure_post,-0.003938375761115738,0.008464289131579254,0.6417215388301606,923,0.7821001400387521
