dropped_tag_a,dropped_tag_b,coef,se,pval,n_clusters
android,apache-spark,-0.01649374723255096,0.006054711045656764,0.006447347014408762,14
android,bash,-0.014774769552006503,0.005950305913783836,0.01302712555741484,14
android,docker,-0.017285375722146182,0.0066693380401652725,0.009548418809214752,14
android,excel,-0.0156044052214067,0.005800074249813315,0.00713706441929467,14
android,firebase,-0.012888603575106187,0.006592130616615491,0.05056537888245562,14
android,javascript,-0.010330218281948553,0.0056409718187304,0.06705824794104068,14
android,kubernetes,-0.011105133721862946,0.005035684848163946,0.027433914287515113,14
android,linux,-0.015102570085799015,0.0067498862666333665,0.025256585283325094,14
android,memory-management,-0.014609800206766072,0.006003085213948206,0.014944745481066996,14
android,multithreading,-0.014426530235290955,0.0062153539512003675,0.020280820783916693,14
android,numpy,-0.014603914495239604,0.005947132923915588,0.014064073883813146,14
android,pandas,-0.015030530459330069,0.005898915478048892,0.010833753166596157,14
android,python,-0.01595635434914917,0.007180680168102329,0.026274996271774674,14
android,regex,-0.014186709790288242,0.006007472733392033,0.018200657706841622,14
android,sql,-0.014931136066544295,0.006061596540180517,0.01376896803486096,14
apache-spark,bash,-0.01136370974960634,0.005460992451559309,0.03744422434921914,14
apache-spark,docker,-0.011774823840137665,0.006298402592586196,0.06155416211849232,14
apache-spark,excel,-0.012215255394876152,0.005276328961539584,0.020607188183415497,14
apache-spark,firebase,-0.009849922009479433,0.005252003390054585,0.0607294744674378,14
apache-spark,javascript,-0.006889380498115175,0.005137840269593298,0.17994973181618734,14
apache-spark,kubernetes,-0.009004046173172799,0.004518087958661942,0.04627364239591985,14
apache-spark,linux,-0.011071294374367525,0.005784834745859671,0.05563958103824739,14
apache-spark,memory-management,-0.011146195058989901,0.005484779321764424,0.04213292359333545,14
apache-spark,multithreading,-0.010937285313067839,0.005517135673125972,0.04743214733985276,14
apache-spark,numpy,-0.011203680796822376,0.005449039879037453,0.03977447172857282,14
apache-spark,pandas,-0.011629261202628978,0.005395672592259745,0.03113882866904614,14
apache-spark,python,-0.012525677890084639,0.006825291216549425,0.06647815640748264,14
apache-spark,regex,-0.01078811436030742,0.005520928572300937,0.050696506306737193,14
apache-spark,sql,-0.01152958802312662,0.005581527943565314,0.03885976502266287,14
bash,docker,-0.01105355153448359,0.0058211411472478295,0.057582446239177854,14
bash,excel,-0.011714493700823387,0.00500839077899862,0.019336800975128316,14
bash,firebase,-0.009301393020312108,0.004969038015916089,0.06122459568379841,14
bash,javascript,-0.006379676123664803,0.0047696620260990405,0.18104216887027025,14
bash,kubernetes,-0.008536882364222686,0.004361076356551208,0.05028668119254838,14
bash,linux,-0.01046766575300329,0.005431748513176062,0.05396388410810433,14
bash,memory-management,-0.010611471917293754,0.00520208563563586,0.04136531528415273,14
bash,multithreading,-0.01039119069995276,0.005225837854115933,0.046764620194879335,14
bash,numpy,-0.010677562337279773,0.005174404736223495,0.039061879935072055,14
bash,pandas,-0.011113340913780575,0.005124993147348476,0.03012373046394766,14
bash,python,-0.012293208143646574,0.006450864317951909,0.05669324442854167,14
bash,regex,-0.010256681599411807,0.005243136327869406,0.050440288861490074,14
bash,sql,-0.011027193832061662,0.005320482115359989,0.038210175796426916,14
docker,excel,-0.011910406852374145,0.005646772453022516,0.03492374063481749,14
docker,firebase,-0.009313260035720325,0.005589184387497397,0.09565360226916535,14
docker,javascript,-0.00659846993501058,0.005519951968174444,0.23193649128210148,14
docker,kubernetes,-0.008368459742018932,0.0046945293525670825,0.0746517272195011,14
docker,linux,-0.010730347274685217,0.0062390579381920615,0.08545669559486097,14
docker,memory-management,-0.010839376095948702,0.005852341282133376,0.06400521379974171,14
docker,multithreading,-0.010591208594493948,0.0058997181311084895,0.07262090628223511,14
docker,numpy,-0.010896432586436225,0.005809476009393754,0.06070598339463709,14
docker,pandas,-0.011321985005981427,0.005759692090068916,0.04933009897463604,14
docker,python,-0.012214030624888276,0.00711187136209774,0.08590347379847638,14
docker,regex,-0.010474972090140516,0.005876177199862213,0.07464870611305435,14
docker,sql,-0.01122274619283705,0.005932743468218934,0.05853601103415778,14
excel,firebase,-0.010155417244307524,0.004769116367311824,0.03322012571873979,14
excel,javascript,-0.0075991329334248285,0.004150166965678358,0.0670941697089338,14
excel,kubernetes,-0.009383939107403823,0.0041298909109476565,0.023074418963197067,14
excel,linux,-0.011317205728062916,0.005248087991682036,0.03104904378378102,14
excel,memory-management,-0.01146086667260453,0.0050106930836232065,0.02217938502385806,14
excel,multithreading,-0.011242170609627096,0.005034130909946773,0.02553642007918661,14
excel,numpy,-0.011531210943485264,0.0049865288059550116,0.02075165676865286,14
excel,pandas,-0.011988946123568383,0.004959337783468893,0.01562972444599841,14
excel,python,-0.013956664580754747,0.005339235364764488,0.008949377855345586,14
excel,regex,-0.011108055354600223,0.005025334807356166,0.02707665082755987,14
excel,sql,-0.01197431172181988,0.005117626544957088,0.019293169258325436,14
firebase,javascript,-0.004852462007804113,0.004627592732570045,0.2943654131306921,14
firebase,kubernetes,-0.0065866142046636204,0.0037513339184893765,0.07912155764865876,14
firebase,linux,-0.008782747242094014,0.005178224006603838,0.08986835130505832,14
firebase,memory-management,-0.009071374879152402,0.0049854201479343115,0.0688228647723881,14
firebase,multithreading,-0.008778108536035709,0.00498858672216685,0.0784691439025036,14
firebase,numpy,-0.009143359793577903,0.004957983983429767,0.06515853143711194,14
firebase,pandas,-0.009568206284333075,0.0048993173820324155,0.05082347864660668,14
firebase,python,-0.010454362202246194,0.006421720244482556,0.10353143546214609,14
firebase,regex,-0.008721939737546612,0.00503423219171824,0.08317989629564933,14
firebase,sql,-0.009467842039009213,0.005099325951360288,0.06335598183695737,14
javascript,kubernetes,-0.00405988974152662,0.003930129206038388,0.3015960074761349,14
javascript,linux,-0.00597714948031464,0.0050916114677794985,0.24042668159357905,14
javascript,memory-management,-0.006137452885048057,0.004857937914499011,0.20645033510743938,14
javascript,multithreading,-0.00592517304956113,0.004897645006327231,0.22635548002732508,14
javascript,numpy,-0.006230760057702761,0.004797546931265748,0.19403360426428473,14
javascript,pandas,-0.006828170082654605,0.004559505575148751,0.1342455010251812,14
javascript,python,0.0006227471156748585,0.007689894837064325,0.9354558483544521,14
javascript,regex,-0.005498804199593312,0.005081955118887965,0.2792412697713682,14
javascript,sql,-0.006159269833529057,0.005130016454372539,0.22989338336309284,14
kubernetes,linux,-0.00793455602948428,0.0044407884338620186,0.07397873059505454,14
kubernetes,memory-management,-0.008295827211657497,0.004363948981979435,0.05730320730199904,14
kubernetes,multithreading,-0.00798915687472784,0.004343622714884419,0.06587338746338632,14
kubernetes,numpy,-0.008373787007209196,0.004345097193202751,0.0539571270449794,14
kubernetes,pandas,-0.008800201087871436,0.004279317394685107,0.03973918734002248,14
kubernetes,python,-0.009707376325248334,0.005977615082717798,0.10438546922147003,14
kubernetes,regex,-0.007959916231083594,0.004437581398979266,0.07285291537587632,14
kubernetes,sql,-0.008702804019372394,0.004510746948722424,0.05368758062673197,14
linux,memory-management,-0.010246804000555531,0.00545396289137608,0.060274348670255364,14
linux,multithreading,-0.00999977709343539,0.005483945503077354,0.06823314774268377,14
linux,numpy,-0.010310221666480561,0.005420046552281976,0.057139971017045744,14
linux,pandas,-0.010733911190974632,0.005366347510777741,0.04547579761533781,14
linux,python,-0.011655259170825626,0.006788927360870892,0.08601494888876118,14
linux,regex,-0.009893109120530897,0.0054930769492908035,0.07170065523296436,14
linux,sql,-0.010634315468040199,0.0055546354051936,0.05555708084652939,14
memory-management,multithreading,-0.010165591215534987,0.005243824307695575,0.052552075788952345,14
memory-management,numpy,-0.01045125309529319,0.005189979842475572,0.04403718037369419,14
memory-management,pandas,-0.010876452288746077,0.005134222791716773,0.0341393150815168,14
memory-management,python,-0.01178665873952755,0.006607024749184739,0.0744303897272273,14
memory-management,regex,-0.010033109296416072,0.0052650837439345895,0.05670296766323162,14
memory-management,sql,-0.010775594947842849,0.005329551384055416,0.043191046190729075,14
multithreading,numpy,-0.010231088378757091,0.005213900474918607,0.049730881824220904,14
multithreading,pandas,-0.010655971078911699,0.0051579801261818735,0.038836093077964075,14
multithreading,python,-0.011550776347855734,0.006629280443388505,0.08144063613049667,14
multithreading,regex,-0.009811056020620048,0.00528841739310979,0.06356810160638096,14
multithreading,sql,-0.01055873702937012,0.005351981818525674,0.048510957542566804,14
numpy,pandas,-0.010943193093197705,0.005107849403634184,0.032159158876105445,14
numpy,python,-0.011926988692069262,0.006533511885166752,0.06792416327905812,14
numpy,regex,-0.010097954328631784,0.00523410928068318,0.05369867207293887,14
numpy,sql,-0.010848337633228525,0.00530176052868706,0.0407390116905495,14
pandas,python,-0.012767243946340556,0.006137406149382604,0.0375040302576519,14
pandas,regex,-0.01052611137490611,0.005164994329665121,0.041552780576202666,14
pandas,sql,-0.011316946706742177,0.005247580746159378,0.03103663545855647,14
python,regex,-0.011166306094293171,0.006966624248937124,0.10897245307448732,14
python,sql,-0.01280546374236959,0.006694636168840431,0.05577435599924511,14
regex,sql,-0.010396684055859994,0.005382337501190718,0.05340520248538837,14
