placebo_month,coef,se,pval
2022-03,0.015477990042771145,0.00981227686165619,0.11470106600086344
2022-04,0.016577797336376203,0.008044174432536794,0.03931782177103112
2022-05,0.009176052159935149,0.005039403064361466,0.06862799922605779
2022-06,0.003169616032618016,0.005872858699217332,0.5893999241815695
2022-07,0.007081316354397224,0.007823217813295428,0.36537707347510484
2022-08,0.0018438576813480656,0.006955565539202736,0.7909393761946566
2022-09,-0.009335903437210573,0.011361873975670213,0.4112550951205295
2022-10,-0.017439892278915847,0.008498609338713653,0.040161133374537056
2022-11,-0.015436215527400522,0.00556055265092182,0.005502851409586268
2022-12,-0.010354445674073273,0.005122268842713019,0.043232490087261044
2023-01,-0.003615289129642027,0.005141217111885964,0.48193290612626705
