outcome,coef,se,pval,nobs
title_length_chars_mean,0.08364992205599468,0.24577733790599748,0.733594177453204,1147
body_length_chars_mean,8.397402461522635,18.865695516119846,0.6562367105215464,1147
body_word_count_mean,4.0961157185658035,1.6714106076201414,0.014258116047977255,1147
code_block_count_mean,-0.015237513639474157,0.042028623012515566,0.71694042008688,1147
code_char_count_mean,-1.7333789893711178,37.51886644377621,0.9631506861308677,1147
error_keyword_density_mean,0.0,0.0,,1147
comment_count_mean,0.02816836997494588,0.06219277925086909,0.6506061589473353,1147
has_edit_mean,0.009350222794882315,0.005818901911323616,0.10808274227995372,1147
tag_count_full_mean,0.14409543126312324,0.038041951405415664,0.00015198506092382194,1147
has_code_block_mean,-0.007033286729225037,0.014077929954198416,0.6173591129233487,1147
code_share_mean,-0.01241140794959743,0.011505105818402594,0.28068852966297064,1147
complexity_index_broad_mean,0.01917440613465061,0.008268452818999713,0.020395927877585398,1147
residual_queue_complexity_index_mean,0.05512033694139716,0.013244168504046765,3.156698540499568e-05,1147
