tag,pre_questions,mean_exposure_raw,mean_routine_hits,mean_context_hits,mean_version_hits,mean_config_hits,manual_high,exposure_index,exposure_rank,exposure_tercile
android,162195,-0.2649835075063966,0.3934523259040044,0.6292179167052006,0.022337310028052653,0.03609852338234841,0,-0.5824723369899437,12,Low
apache-spark,18428,0.6091816800520946,0.7365422183633601,0.1070110701107011,0.03185370088995008,0.008845235511178641,0,0.6785814699695615,5,High
bash,21874,0.4346027246959861,0.5199780561397093,0.0746091249885709,0.005348815945871811,0.01618359696443266,1,0.42673724258535956,8,Middle
docker,45761,-1.2944210135268024,0.17621992526387098,1.4148729267279998,0.03334717335722558,0.07818885076812132,0,-2.067518990036933,16,Low
excel,54913,0.49384480906160655,0.5195855261959827,0.022763280097608946,0.004206654162038133,0.001748219911496367,1,0.5121987286806099,6,Middle
firebase,34085,-0.434443303505941,0.3584861375971835,0.779580460613173,0.010268446530731994,0.01642951444917119,0,-0.8269317640104322,13,Low
javascript,529061,0.47482615426198493,0.5315133793645723,0.05140617055500216,0.004392688177733759,0.006169420917436741,1,0.484762784788476,7,Middle
kubernetes,25272,-0.9611625514403292,0.21763216207660652,1.1435185185185186,0.020061728395061727,0.050490661601772714,0,-1.5867667726106391,15,Low
linux,27622,-0.10287090000724061,0.26822822387951634,0.33918615596263846,0.043986677286221125,0.019839258562015783,0,-0.3486118221209918,10,Middle
memory-management,2329,-0.22348647488192358,0.32288535852297123,0.5422928295405753,0.006440532417346501,0.0017174753112924003,0,-0.522609519626134,11,Low
multithreading,13035,-0.5682009973149214,0.23766781741465287,0.8023014959723821,0.00590717299578059,0.001227464518603759,0,-1.0198880283282128,14,Low
numpy,3554,0.7367754642656162,0.8097917839054586,0.06274620146314012,0.019696117051209903,0.0008441193021947102,1,0.8626457974180449,3,High
pandas,17115,0.935553607946246,0.9597429155711364,0.01887233420975752,0.007420391469471224,0.0032135553607946245,1,1.1493993062473233,2,High
python,589797,0.39557000120380403,0.5010876623651866,0.09391027760398916,0.015135716187094882,0.00807905092769207,1,0.37042938995479446,9,Middle
regex,21515,1.2876365326516384,1.3029979084359748,0.011759237741110854,0.004787357657448292,0.002416918429003021,1,1.6573073296784941,1,High
sql,123789,0.7021787073164821,0.7709489534611315,0.06570858476924445,0.004806566011519602,0.001316756739290244,1,0.8127371844006236,4,High
